Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
"With economic development, we aim to build a prosperous and caring Hong Kong," Mr Tsang said.	「我们努力发展经济，目的是令香港成为一个繁荣及关爱的社会。」
To date, around 320 companies have benefited from the programme.	至今，已有近３２０家公司受惠。
Ends/Friday, September 21, 2012Issued at HKT 17:11	２０１２年９月２１日（星期五）香港时间１７时１０分
FS to attend IMF and World Bank Group Annual Meetings	财政司司长赴美出席国际货币基金组织和世界银行集团年会
The brand stands for the vision and shared values of Hong Kong then.	它代表的是当时大家对这个城市所持的愿景和共同分享的价值观。
As for health care, recurrent expenditure will amount to $39.9 billion, taking up 16.5 per cent of recurrent government expenditure and representing a nine per cent increase on last year.	在医疗衞生方面，新财政年度的经常开支为399亿元，占政府经常开支百分之十六点五，按年增加百分之九。
Most taxpayers will receive their tax bills, with the reduction duly reflected, starting from late July 2012.	大部分纳税人会在二○一二年七月底开始收到已反映宽减的税单。
While in Shanghai, he will address the 9th Shanghai-Hong Kong Metropolitan Development Seminar.	在上海期间，他会出席第九届沪港大都市发展研讨会并在会上致辞。
It advises the Financial Secretary on amendments to the Companies Ordinance and the Companies (Winding Up and Miscellaneous Provisions) Ordinance, as well as amendments to the Securities and Futures Ordinance on matters relating to corporate governance and shareholders' protection, as and when necessary.	常委会在一九八四年成立，其职能是就《公司条例》和《公司（清盘及杂项条文）条例》的修订，以及就《证券及期货条例》当中有关企业管治和保障股东事宜的修订，按需要向财政司司长提供意见。
Earlier today, Mr Chan paid a courtesy call on the Ambassador of the People's Republic of China to the Philippines, Mr Zhao Jianhua, and attended a business luncheon hosted by the Hong Kong Chamber of Commerce of the Philippines.	今日较早时，陈茂波亦礼节性拜会中国驻菲律宾大使赵鉴华。
In December 2005 to June 2007, Mr Chan joined the Standard Chartered Bank as Vice Chairman, Asia.	二零零五年十二月至二零零七年六月，他出任渣打银行亚洲区副主席。
"Through the inaugural sukuk offering, we demonstrated that the legal, regulatory and taxation framework in Hong Kong can easily accommodate sukuk issuance.	「我们借着发售首批伊斯兰债券，让市场认识到香港的法律、监管及税务框架均能支持发行伊斯兰债券。」
The Roundtable also provides a new forum for high-level representatives from both CSoEs and relevant sectors in Hong Kong to exchange views and experiences.	这次会议为央企和香港相关行业高层代表提供新的平台，促进意见和经验交流。
With regard to the MPF system, Mr Tsang said that the Central Policy Unit is now refining the study on the sustainability of the existing retirement protection system in the light of latest developments.	至于强制性公积金的问题，曾俊华指中央政策组现正因应最新情况，深化研究其对现行退休保障制度的可持续性，在过程中会参考各界意见。
A variety of initiatives will also be launched, or enhanced, to promote the fashion, design and film industries.     Mr Tsang pointed to emerging markets as the other major force in the new economic order.	政府也将推出、优化多项措施，推动时装、设计和电影业的发展。 曾俊华指出，新兴市场是新经济秩序另一主力军。
The financial assistance scheme was introduced following the Chief Executive's 2007-08 Policy Address which announced that financial support would be offered to privately owned graded historic buildings in a bid to conserve historical and heritage sites for the benefit and enjoyment of present and future generations.	维修资助计划是因应行政长官于二○○七／○八年度施政报告中提出的文物保育措施，政府会为获评级的私人历史建筑提供财政支援作维修保养，以保存文物建筑，让这一代和子孙后代均可受惠共享。
"Fiscal reserves are estimated to be $856.3 billion by the end of March 2016, representing 36.8 per cent of GDP and equivalent to 23 months of government expenditure."	「在二零一六年三月底，财政储备预计为八千五百六十三亿元，相当于本地生产总值百分之三十六点八，或二十三个月的政府开支。」
In his Budget delivered today (February 27), the Financial Secretary proposed a number of tax measures.	在今日（二月二十七日）发表的《财政预算案》中，财政司司长建议多项税务措施。
Those who are interested in joining the programme in the future may visit its dedicated website at www.servicecorps.hk.	有兴趣日后参加计划的年青人，可浏览香港青年服务团的网站： www.servicecorps.hk。
Budget suggests leaving wealth with the people (with video)	财政预算案藏富于民（附短片）
allowing accredited testing organisations in Hong Kong to undertake testing of products for the China Compulsory Certification (CCC) System on all products processed or manufactured in the Mainland requiring CCC.	允许认可机构认可的香港检测机构承担在内地加工或生产的中国强制性产品认证目录内所有产品的检测任务。
Mr Chan announced the launch of a Re-industrialisation Funding Scheme under the Innovation and Technology Fund (ITF), injecting $2 billion into the ITF to subsidise manufacturers on a matching basis to set up smart production lines in Hong Kong.	陈茂波亦宣布，计划向创新及科技基金注资20亿元，在今年下半年推行再工业化资助计划，以配对形式资助生产商在港设立智能生产线。
The Secretary for Financial Services and the Treasury, Mr James Lau, and the Chief Executive of the Hong Kong Monetary Authority, Mr Norman Chan, will join the visit.	财经事务及库务局局长刘怡翔和香港金融管理局总裁陈德霖亦会参与访京行程。
